generic_name_raw,brand_name_raw,product_type,route,source
"Avobenzone, Octisalate and Octocrylene",Lancome Paris Renergie Lift MultiAction Sunscreen Broad Spectrum SPF 15 Lift and Firming Face and Neck All Skin Types,HUMAN OTC DRUG,TOPICAL,snapshot
SILVER NITRATE,Argentum nitricum,HUMAN OTC DRUG,ORAL,snapshot
Juglans regia,English Walnut Pollen,NON-STANDARDIZED ALLERGENIC,CUTANEOUS,snapshot
"Spleen (Suis), Arsenicum Album, Carbo Vegetabilis, Ceanothus Americanus, Chininum Sulphuricum, Ignatia Amara, Iodium, Natrum Muriaticum, Nitricum Acidum, Phosphoricum Acidum, Phosphorus",Spleenpar,HUMAN OTC DRUG,ORAL,snapshot
Influenzinum (2023-2024),Influenzinum 200C,HUMAN OTC DRUG,ORAL,snapshot
Lansoprazole,lansoprazole,HUMAN OTC DRUG,ORAL,snapshot
"dextrose(glucose),Levulose(fructose),Phosphoric acid",Good Neighbor Anti Nausea Cherry Flavor,HUMAN OTC DRUG,ORAL,snapshot
quetiapine fumarate,Quetiapine Fumarate,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Lurasidone Hydrochloride,Lurasidone Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Tadalafil,Tadalafil,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Benzalkonium Chloride,Ecolab,HUMAN OTC DRUG,TOPICAL,snapshot
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, Amphetamine Sulfate Tablets, 10 mg,Cll","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, Amphetamine Sulfate Tablets,CII",HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Sodium Iodide I 123,Sodium Iodide I 123,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Sun Pyrite 8X,Sun Pyrite 8X,HUMAN OTC DRUG,ORAL,snapshot
APIS MELLIFERA,Apis mellifica,HUMAN OTC DRUG,ORAL,snapshot
GLYBURIDE,GLYBURIDE,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Sildenafil,Sildenafil,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Clotrimazole and Betamethasone Dipropionate,Clotrimazole and Betamethasone Dipropionate,HUMAN PRESCRIPTION DRUG,TOPICAL,snapshot
Adalimumab,HUMIRA,HUMAN PRESCRIPTION DRUG,,snapshot
Naproxen,Naproxen,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"OCTINOXATE, OXYBENZONE",Artistry Youth Xtend Lifting Smoothing Foundation Shade Soleil L3W1,HUMAN OTC DRUG,TOPICAL,snapshot
Cetirizine Hydrochloride,ZYRTEC HIVES,HUMAN OTC DRUG,ORAL,snapshot
ENTRECTINIB,Rozlytrek,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
